Record_Date,Company_Name,Job_Role,Experience_Level,City,Salary_INR,Demand_Index,Remote_Option_Flag,Salary_Trend_Pct,Skills_Required
2015-11-22,State Bank of India,Product Manager,0-1 years,Noida,1615767,71,0,8.72,"Communication, Problem Solving, Team Work"
2015-11-22,Hindustan Unilever,Frontend Developer,0-1 years,Hyderabad,790163,81,0,5.26,"HTML, CSS, JavaScript, UI/UX"
2015-11-22,Bharat Petroleum,Software Engineer,5-8 years,Bangalore,1104756,94,0,0.08,"Java, Python, Data Structures, OOPs"
2015-11-22,HDFC Bank,UI/UX Designer,5-8 years,Mumbai,905086,94,1,8.22,"Communication, Problem Solving, Team Work"
2015-11-22,Maruti Suzuki,Data Analyst,1-3 years,Bangalore,578687,35,0,11.54,"SQL, Excel, Power BI, Python"
2015-11-23,Paytm,UI/UX Designer,0-1 years,Pune,578565,58,0,11.5,"Communication, Problem Solving, Team Work"
2015-11-23,Jio Platforms,Cloud Architect,5-8 years,Delhi,1649335,48,1,-4.1,"Communication, Problem Solving, Team Work"
2015-11-23,Capgemini India,UI/UX Designer,3-5 years,Kolkata,568975,96,1,-1.53,"Communication, Problem Solving, Team Work"
2015-11-23,Wipro,Business Analyst,8-12 years,Delhi,1453195,42,1,6.74,"Excel, SQL, Power BI, Business Intelligence"
2015-11-23,Aditya Birla Group,Data Scientist,12+ years,Noida,936181,85,1,-3.55,"Python, Machine Learning, Pandas, NumPy"
2015-11-23,Tech Mahindra,Backend Developer,8-12 years,Bangalore,539877,73,0,6.14,"Python, Java, SQL, APIs"
2015-11-23,Infosys,Product Manager,8-12 years,Mumbai,2955824,20,1,-3.08,"Communication, Problem Solving, Team Work"
2015-11-23,PhonePe,DevOps Engineer,12+ years,Kolkata,580846,87,1,11.53,"Linux, Docker, Kubernetes, AWS"
2015-11-23,BYJU'S,Digital Marketing Specialist,0-1 years,Bangalore,867096,49,0,9.81,"Communication, Problem Solving, Team Work"
2015-11-24,Zomato,HR Manager,5-8 years,Gurugram,1475098,25,0,4.74,"Communication, Problem Solving, Team Work"
2015-11-24,Reliance Industries,Digital Marketing Specialist,3-5 years,Kolkata,1186022,12,1,5.21,"Communication, Problem Solving, Team Work"
2015-11-24,Aditya Birla Group,Frontend Developer,12+ years,Gurugram,1249046,16,1,3.33,"HTML, CSS, JavaScript, UI/UX"
2015-11-24,Zomato,Cloud Architect,8-12 years,Bangalore,2466990,62,0,10.4,"Communication, Problem Solving, Team Work"
2015-11-25,Capgemini India,Backend Developer,3-5 years,Bangalore,1356475,36,1,1.51,"Python, Java, SQL, APIs"
2015-11-25,Reliance Industries,Data Analyst,1-3 years,Pune,1050313,34,1,-3.26,"SQL, Excel, Power BI, Python"
2015-11-25,Amazon India,Digital Marketing Specialist,1-3 years,Pune,856762,72,0,5.9,"Communication, Problem Solving, Team Work"
2015-11-25,Maruti Suzuki,Operations Manager,12+ years,Hyderabad,1954895,49,1,-1.12,"Communication, Problem Solving, Team Work"
2015-11-25,Indian Oil Corporation,Product Manager,1-3 years,Gurugram,2610237,20,1,5.5,"Communication, Problem Solving, Team Work"
2015-11-25,Larsen & Toubro,Finance Analyst,12+ years,Delhi,1033317,11,0,11.15,"Communication, Problem Solving, Team Work"
2015-11-25,Wipro,Data Scientist,3-5 years,Kolkata,1772394,52,0,-1.23,"Python, Machine Learning, Pandas, NumPy"
2015-11-25,Wipro,Backend Developer,0-1 years,Chennai,1092173,88,1,7.85,"Python, Java, SQL, APIs"
2015-11-25,Wipro,DevOps Engineer,8-12 years,Hyderabad,771879,64,0,7.25,"Linux, Docker, Kubernetes, AWS"
2015-11-25,Adani Enterprises,Backend Developer,1-3 years,Pune,1777534,16,1,-1.05,"Python, Java, SQL, APIs"
2015-11-25,Tata Consultancy Services,Business Analyst,0-1 years,Kolkata,1236893,34,1,8.01,"Excel, SQL, Power BI, Business Intelligence"
2015-11-25,Capgemini India,Business Analyst,3-5 years,Mumbai,777408,57,0,4.17,"Excel, SQL, Power BI, Business Intelligence"
2015-11-25,Flipkart,Operations Manager,12+ years,Noida,592816,26,1,-3.41,"Communication, Problem Solving, Team Work"
2015-11-25,Accenture India,Digital Marketing Specialist,8-12 years,Mumbai,731812,49,1,6.25,"Communication, Problem Solving, Team Work"
2015-11-26,Swiggy,Data Analyst,12+ years,Noida,851013,62,1,10.76,"SQL, Excel, Power BI, Python"
2015-11-26,Deloitte India,Cybersecurity Analyst,1-3 years,Delhi,873271,26,1,3.89,"Communication, Problem Solving, Team Work"
2015-11-26,PhonePe,Backend Developer,8-12 years,Ahmedabad,1439934,86,0,1.48,"Python, Java, SQL, APIs"
2015-11-26,Larsen & Toubro,Finance Analyst,0-1 years,Chennai,1125424,74,1,4.51,"Communication, Problem Solving, Team Work"
2015-11-26,IBM India,Digital Marketing Specialist,8-12 years,Kolkata,1045530,41,0,4.63,"Communication, Problem Solving, Team Work"
2015-11-27,Axis Bank,Digital Marketing Specialist,8-12 years,Gurugram,520468,70,1,10.8,"Communication, Problem Solving, Team Work"
2015-11-27,Reliance Industries,HR Manager,5-8 years,Pune,572125,58,1,2.75,"Communication, Problem Solving, Team Work"
2015-11-27,Paytm,Digital Marketing Specialist,3-5 years,Chennai,507909,68,0,3.98,"Communication, Problem Solving, Team Work"
2015-11-27,Maruti Suzuki,Data Analyst,5-8 years,Delhi,997335,19,1,-3.54,"SQL, Excel, Power BI, Python"
2015-11-27,Tata Consultancy Services,Software Engineer,0-1 years,Hyderabad,547391,84,0,1.62,"Java, Python, Data Structures, OOPs"
2015-11-27,Wipro,DevOps Engineer,12+ years,Chennai,2144662,97,0,9.36,"Linux, Docker, Kubernetes, AWS"
2015-11-27,ICICI Bank,Data Analyst,1-3 years,Delhi,1100787,58,1,9.6,"SQL, Excel, Power BI, Python"
2015-11-27,Kotak Mahindra Bank,Business Analyst,3-5 years,Kolkata,565957,26,1,11.77,"Excel, SQL, Power BI, Business Intelligence"
2015-11-27,Adani Enterprises,Backend Developer,8-12 years,Delhi,478042,95,0,2.94,"Python, Java, SQL, APIs"
2015-11-27,HCL Technologies,DevOps Engineer,12+ years,Ahmedabad,1745091,39,0,8.81,"Linux, Docker, Kubernetes, AWS"
2015-11-27,Bharat Petroleum,Cybersecurity Analyst,1-3 years,Delhi,2143528,74,1,8.55,"Communication, Problem Solving, Team Work"
2015-11-28,Flipkart,Machine Learning Engineer,0-1 years,Ahmedabad,1291946,51,0,-2.97,"Communication, Problem Solving, Team Work"
2015-11-28,Amazon India,Data Scientist,1-3 years,Ahmedabad,1872002,80,0,1.01,"Python, Machine Learning, Pandas, NumPy"
2015-11-28,Mahindra & Mahindra,Cloud Architect,5-8 years,Kolkata,1299293,99,1,7.38,"Communication, Problem Solving, Team Work"
2015-11-28,State Bank of India,Operations Manager,0-1 years,Hyderabad,1661536,78,1,11.36,"Communication, Problem Solving, Team Work"
2015-11-28,Indian Oil Corporation,Data Scientist,0-1 years,Hyderabad,1985460,40,1,-3.05,"Python, Machine Learning, Pandas, NumPy"
2015-11-28,HCL Technologies,DevOps Engineer,3-5 years,Pune,1970879,77,0,1.14,"Linux, Docker, Kubernetes, AWS"
2015-11-28,Axis Bank,Frontend Developer,3-5 years,Gurugram,803486,17,1,2.7,"HTML, CSS, JavaScript, UI/UX"
2015-11-28,Swiggy,Backend Developer,1-3 years,Delhi,1604405,82,0,1.4,"Python, Java, SQL, APIs"
2015-11-28,Tata Consultancy Services,UI/UX Designer,5-8 years,Noida,948506,25,1,-2.79,"Communication, Problem Solving, Team Work"
2015-11-28,Deloitte India,Machine Learning Engineer,0-1 years,Delhi,606140,36,1,0.18,"Communication, Problem Solving, Team Work"
2015-11-28,Wipro,Operations Manager,0-1 years,Gurugram,1107621,36,0,11.67,"Communication, Problem Solving, Team Work"
2015-11-29,IBM India,Software Engineer,3-5 years,Pune,742535,82,0,10.8,"Java, Python, Data Structures, OOPs"
2015-11-29,Bharat Petroleum,Digital Marketing Specialist,1-3 years,Kolkata,934624,34,1,10.09,"Communication, Problem Solving, Team Work"
2015-11-29,State Bank of India,Finance Analyst,1-3 years,Bangalore,858730,65,1,0.06,"Communication, Problem Solving, Team Work"
2015-11-29,Larsen & Toubro,Software Engineer,3-5 years,Kolkata,465157,25,0,-0.69,"Java, Python, Data Structures, OOPs"
2015-11-29,Bharat Petroleum,Operations Manager,0-1 years,Pune,1188944,99,1,10.74,"Communication, Problem Solving, Team Work"
2015-11-29,Aditya Birla Group,Frontend Developer,3-5 years,Chennai,1145408,58,0,8.38,"HTML, CSS, JavaScript, UI/UX"
2015-11-30,Bharat Petroleum,Data Analyst,3-5 years,Gurugram,916014,75,1,8.9,"SQL, Excel, Power BI, Python"
2015-11-30,Wipro,Data Analyst,5-8 years,Bangalore,644606,59,0,11.77,"SQL, Excel, Power BI, Python"
2015-11-30,IBM India,DevOps Engineer,12+ years,Kolkata,867104,95,1,-2.76,"Linux, Docker, Kubernetes, AWS"
2015-11-30,Adani Enterprises,UI/UX Designer,1-3 years,Mumbai,560371,58,1,5.96,"Communication, Problem Solving, Team Work"
2015-11-30,Paytm,Digital Marketing Specialist,5-8 years,Hyderabad,630112,36,0,-4.63,"Communication, Problem Solving, Team Work"
2015-11-30,BYJU'S,Finance Analyst,3-5 years,Bangalore,916580,16,1,3.62,"Communication, Problem Solving, Team Work"
2015-11-30,Amazon India,Data Analyst,5-8 years,Delhi,765030,87,1,4.7,"SQL, Excel, Power BI, Python"
2015-12-01,Paytm,Machine Learning Engineer,8-12 years,Noida,1316653,93,0,-2.79,"Communication, Problem Solving, Team Work"
2015-12-01,Hindustan Unilever,Operations Manager,0-1 years,Chennai,1171376,13,1,3.53,"Communication, Problem Solving, Team Work"
2015-12-01,Wipro,Data Analyst,1-3 years,Chennai,869655,62,1,2.86,"SQL, Excel, Power BI, Python"
2015-12-01,State Bank of India,Product Manager,0-1 years,Ahmedabad,2844133,70,0,9.42,"Communication, Problem Solving, Team Work"
2015-12-01,Adani Enterprises,Frontend Developer,8-12 years,Delhi,842785,38,1,6.51,"HTML, CSS, JavaScript, UI/UX"
2015-12-02,BYJU'S,UI/UX Designer,0-1 years,Gurugram,617056,26,0,-0.08,"Communication, Problem Solving, Team Work"
2015-12-02,Larsen & Toubro,Cybersecurity Analyst,3-5 years,Noida,1228279,44,0,3.77,"Communication, Problem Solving, Team Work"
2015-12-02,Axis Bank,Business Analyst,3-5 years,Ahmedabad,894182,78,0,0.13,"Excel, SQL, Power BI, Business Intelligence"
